evaluated_benchmark,base_benchmark,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
atlas,atlas,lz4,4194304,52428800,4,1420.50,1077688572,89.555,1.224,45.390,75.326,26.452,1409.9,1437.6,1409.6,1405.3,1421.7,1389.0,1406.3,1414.9,1414.9,1495.9
atlas,lhcb,lz4,2097152,41943040,2,1386.00,1077801462,84.951,1.214,43.082,75.865,25.712,1388.3,1391.3,1383.8,1394.9,1386.1,1408.2,1390.3,1373.7,1360.3,1383.2
atlas,h1,zstd,8388608,314572800,4,1118.96,865816989,49.317,20.644,34.980,68.566,28.229,1130.8,1136.7,1163.5,1123.1,962.6,1117.0,1135.0,1149.6,1138.7,1132.6
atlas,cms,zstd,1048576,524288000,2,1111.06,865646933,48.262,20.659,34.461,64.410,27.715,1100.3,1099.0,1125.4,1103.8,1098.1,1149.7,1092.5,1108.2,1115.7,1117.8

lhcb,atlas,lz4,4194304,52428800,4,1233.56,1096344793,58.010,0.647,29.329,39.731,15.568,1206.3,1224.3,1240.8,1245.0,1257.4,1245.1,1241.7,1233.8,1210.1,1231.2
lhcb,lhcb,lz4,2097152,41943040,2,1253.77,1096424578,60.599,0.640,30.619,39.466,15.042,1245.4,1237.9,1283.0,1237.3,1239.8,1225.8,1235.7,1268.5,1284.6,1279.6
lhcb,h1,zstd,8388608,314572800,4,1123.18,1016296516,43.872,7.901,25.886,28.566,20.483,1125.0,1102.1,1106.6,1127.6,1139.2,1138.2,1114.4,1060.2,1128.6,1189.9
lhcb,cms,zstd,1048576,524288000,2,1138.89,1016284185,45.883,7.902,26.893,24.360,18.748,1134.6,1129.1,1131.5,1125.5,1130.2,1133.4,1125.1,1126.1,1226.6,1126.8

h1,atlas,lz4,4194304,52428800,4,932.60,2263864705,93.987,1.840,47.913,112.564,11.035,918.1,915.3,941.1,947.4,891.9,933.1,939.7,953.9,937.4,948.2
h1,lhcb,lz4,2097152,41943040,2,901.24,2265983686,87.464,1.748,44.606,113.244,11.009,908.0,905.4,904.5,901.0,890.7,909.3,900.5,909.9,876.7,906.4
h1,h1,zstd,8388608,314572800,4,1044.41,1394823505,117.244,39.521,78.383,103.505,11.583,1010.1,1097.1,1100.8,1006.7,1020.4,1037.2,1042.4,1044.7,1052.7,1032.1
h1,cms,zstd,1048576,524288000,2,819.97,1931917777,70.559,16.233,43.396,111.844,11.616,798.1,814.7,813.6,809.7,777.4,822.5,860.2,844.2,833.9,825.4

cms,atlas,lz4,4194304,52428800,4,629.37,3354056661,31.123,3.194,17.158,305.988,9.666,625.5,629.5,629.4,629.3,632.4,625.1,627.0,637.0,628.3,630.2
cms,lhcb,lz4,2097152,41943040,2,561.46,3363820836,16.974,2.912,9.943,312.418,9.782,561.6,544.9,565.1,568.1,566.3,568.2,548.2,564.6,563.1,564.5
cms,h1,zstd,8388608,314572800,4,914.24,2544030160,90.471,26.573,58.522,362.088,9.030,915.9,925.0,927.2,944.2,924.0,927.0,814.4,911.8,922.4,930.5
cms,cms,zstd,1048576,524288000,2,1001.22,2537676254,108.594,26.757,67.675,332.109,8.988,992.6,990.3,1004.4,1000.3,999.9,999.9,1005.4,1032.2,996.8,990.5
